profile_id,worker_id,raw_description,embedding,created_at
1000,1000,Experienced hair stylist with 9 years of experience. Speaks English. Available to travel up to 23 km. Current rating is 3.57.,,2025-08-01
1001,1001,Experienced gardener with 9 years of experience. Speaks Kannada. Available to travel up to 43 km. Current rating is 4.5.,,2025-08-01
1002,1002,Experienced kitchen cleaning with 4 years of experience. Speaks Malayalam. Available to travel up to 19 km. Current rating is 4.22.,,2025-12-25
1003,1003,Experienced lawn maintenance with 13 years of experience. Speaks Malayalam. Available to travel up to 7 km. Current rating is 4.84.,,2025-06-15
1004,1004,Experienced alteration with 3 years of experience. Speaks Tamil. Available to travel up to 28 km. Current rating is 4.28.,,2025-02-07
1005,1005,Experienced exterior painting with 15 years of experience. Speaks Telugu. Available to travel up to 48 km. Current rating is 4.46.,,2025-05-28
1006,1006,Experienced gardener with 16 years of experience. Speaks English. Available to travel up to 20 km. Current rating is 3.93.,,2025-09-06
1007,1007,Experienced tree trimming with 3 years of experience. Speaks Kannada. Available to travel up to 9 km. Current rating is 4.15.,,2025-03-11
1008,1008,Experienced hair stylist with 11 years of experience. Speaks Hindi. Available to travel up to 32 km. Current rating is 4.67.,,2025-12-25
1009,1009,Experienced driver with 8 years of experience. Speaks English. Available to travel up to 6 km. Current rating is 4.19.,,2025-07-04
1010,1010,Experienced door repair with 9 years of experience. Speaks Hindi. Available to travel up to 39 km. Current rating is 4.99.,,2025-09-14
1011,1011,Experienced catering with 10 years of experience. Speaks Telugu. Available to travel up to 50 km. Current rating is 4.67.,,2025-05-25
1012,1012,Experienced cook with 3 years of experience. Speaks Kannada. Available to travel up to 11 km. Current rating is 4.15.,,2025-08-25
1013,1013,Experienced ac repair with 9 years of experience. Speaks Tamil. Available to travel up to 46 km. Current rating is 3.75.,,2025-02-13
1014,1014,Experienced washing machine repair with 9 years of experience. Speaks Hindi. Available to travel up to 6 km. Current rating is 3.69.,,2025-04-28
1015,1015,Experienced pipe repair with 2 years of experience. Speaks English. Available to travel up to 29 km. Current rating is 4.07.,,2025-12-25
1016,1016,Experienced interior painting with 16 years of experience. Speaks English. Available to travel up to 37 km. Current rating is 4.15.,,2025-12-29
1017,1017,Experienced water tank installation with 14 years of experience. Speaks Tamil. Available to travel up to 24 km. Current rating is 4.85.,,2025-10-03
1018,1018,Experienced pipe repair with 3 years of experience. Speaks Tamil. Available to travel up to 47 km. Current rating is 4.11.,,2025-12-09
1019,1019,Experienced fan installation with 12 years of experience. Speaks English. Available to travel up to 50 km. Current rating is 4.53.,,2025-08-25
1020,1020,Experienced ac repair with 17 years of experience. Speaks Hindi. Available to travel up to 48 km. Current rating is 3.65.,,2025-08-28
1021,1021,Experienced plumber with 10 years of experience. Speaks Telugu. Available to travel up to 16 km. Current rating is 3.67.,,2025-03-01
1022,1022,Experienced ac technician with 15 years of experience. Speaks Kannada. Available to travel up to 12 km. Current rating is 3.63.,,2025-03-20
1023,1023,Experienced cloth stitching with 6 years of experience. Speaks Malayalam. Available to travel up to 24 km. Current rating is 4.22.,,2025-02-17
1024,1024,Experienced light installation with 17 years of experience. Speaks Telugu. Available to travel up to 26 km. Current rating is 3.94.,,2025-10-06
1025,1025,Experienced washing machine repair with 14 years of experience. Speaks Kannada. Available to travel up to 37 km. Current rating is 3.61.,,2025-04-25
1026,1026,Experienced kitchen cleaning with 15 years of experience. Speaks English. Available to travel up to 39 km. Current rating is 4.56.,,2025-02-24
1027,1027,Experienced leak detection with 2 years of experience. Speaks Telugu. Available to travel up to 41 km. Current rating is 4.72.,,2025-01-30
1028,1028,Experienced refrigerator repair with 11 years of experience. Speaks Tamil. Available to travel up to 18 km. Current rating is 3.55.,,2025-01-13
1029,1029,Experienced bathroom cleaning with 6 years of experience. Speaks Malayalam. Available to travel up to 27 km. Current rating is 4.3.,,2025-01-17
1030,1030,Experienced packers with 13 years of experience. Speaks Tamil. Available to travel up to 32 km. Current rating is 3.76.,,2025-06-11
1031,1031,Experienced light installation with 0 years of experience. Speaks English. Available to travel up to 26 km. Current rating is 4.48.,,2025-11-12
1032,1032,Experienced security guard with 8 years of experience. Speaks Tamil. Available to travel up to 34 km. Current rating is 4.75.,,2025-07-22
1033,1033,Experienced washing machine repair with 17 years of experience. Speaks Tamil. Available to travel up to 20 km. Current rating is 4.31.,,2025-09-16
1034,1034,Experienced exterior painting with 18 years of experience. Speaks Tamil. Available to travel up to 36 km. Current rating is 3.64.,,2025-09-17
1035,1035,Experienced water tank installation with 7 years of experience. Speaks Hindi. Available to travel up to 29 km. Current rating is 3.75.,,2025-03-05
1036,1036,Experienced refrigerator repair with 14 years of experience. Speaks Kannada. Available to travel up to 15 km. Current rating is 4.96.,,2025-01-31
1037,1037,Experienced pipe repair with 8 years of experience. Speaks Kannada. Available to travel up to 22 km. Current rating is 3.64.,,2025-04-28
1038,1038,Experienced cloth stitching with 10 years of experience. Speaks Kannada. Available to travel up to 37 km. Current rating is 4.38.,,2025-07-07
1039,1039,Experienced house cleaning with 5 years of experience. Speaks Kannada. Available to travel up to 5 km. Current rating is 4.75.,,2025-11-14
1040,1040,Experienced cook with 9 years of experience. Speaks English. Available to travel up to 27 km. Current rating is 4.96.,,2025-12-07
1041,1041,Experienced door repair with 1 years of experience. Speaks Kannada. Available to travel up to 10 km. Current rating is 3.98.,,2025-11-07
1042,1042,Experienced fan installation with 18 years of experience. Speaks Tamil. Available to travel up to 29 km. Current rating is 4.07.,,2025-01-03
1043,1043,Experienced door repair with 2 years of experience. Speaks Telugu. Available to travel up to 47 km. Current rating is 4.25.,,2025-03-05
1044,1044,Experienced movers with 5 years of experience. Speaks Malayalam. Available to travel up to 31 km. Current rating is 4.04.,,2025-07-27
1045,1045,Experienced mason with 13 years of experience. Speaks English. Available to travel up to 49 km. Current rating is 4.01.,,2025-11-18
1046,1046,Experienced washing machine repair with 10 years of experience. Speaks Malayalam. Available to travel up to 22 km. Current rating is 4.12.,,2025-09-21
1047,1047,Experienced carpenter with 10 years of experience. Speaks Kannada. Available to travel up to 33 km. Current rating is 3.95.,,2025-11-10
1048,1048,Experienced wood polishing with 18 years of experience. Speaks Hindi. Available to travel up to 20 km. Current rating is 4.41.,,2025-07-29
1049,1049,Experienced ac repair with 20 years of experience. Speaks Kannada. Available to travel up to 5 km. Current rating is 4.75.,,2025-12-15
1050,1050,Experienced hair stylist with 11 years of experience. Speaks Malayalam. Available to travel up to 49 km. Current rating is 4.68.,,2025-08-28
1051,1051,Experienced interior painting with 10 years of experience. Speaks Kannada. Available to travel up to 5 km. Current rating is 3.56.,,2025-10-05
1052,1052,Experienced tailor with 17 years of experience. Speaks Tamil. Available to travel up to 20 km. Current rating is 4.14.,,2025-10-16
1053,1053,Experienced makeup artist with 4 years of experience. Speaks Telugu. Available to travel up to 21 km. Current rating is 3.9.,,2025-01-29
1054,1054,Experienced door repair with 14 years of experience. Speaks Telugu. Available to travel up to 42 km. Current rating is 3.77.,,2025-11-26
1055,1055,Experienced ac installation with 18 years of experience. Speaks Telugu. Available to travel up to 32 km. Current rating is 3.6.,,2025-07-28
1056,1056,Experienced bathroom fitting with 15 years of experience. Speaks Malayalam. Available to travel up to 45 km. Current rating is 4.1.,,2025-03-31
1057,1057,Experienced carpenter with 12 years of experience. Speaks English. Available to travel up to 35 km. Current rating is 4.25.,,2025-03-03
1058,1058,Experienced alteration with 8 years of experience. Speaks Kannada. Available to travel up to 27 km. Current rating is 4.09.,,2025-02-02
1059,1059,Experienced plumber with 13 years of experience. Speaks Hindi. Available to travel up to 24 km. Current rating is 4.4.,,2025-06-08
1060,1060,Experienced electrician with 19 years of experience. Speaks Malayalam. Available to travel up to 33 km. Current rating is 4.34.,,2025-03-19
1061,1061,Experienced ac repair with 5 years of experience. Speaks Malayalam. Available to travel up to 11 km. Current rating is 3.79.,,2025-01-04
1062,1062,Experienced wood polishing with 14 years of experience. Speaks English. Available to travel up to 31 km. Current rating is 4.88.,,2025-09-17
1063,1063,Experienced cloth stitching with 6 years of experience. Speaks Hindi. Available to travel up to 38 km. Current rating is 3.94.,,2025-06-19
1064,1064,Experienced hair stylist with 7 years of experience. Speaks Telugu. Available to travel up to 9 km. Current rating is 3.51.,,2025-02-17
1065,1065,Experienced lawn maintenance with 19 years of experience. Speaks Malayalam. Available to travel up to 9 km. Current rating is 3.99.,,2025-11-14
1066,1066,Experienced furniture assembly with 0 years of experience. Speaks English. Available to travel up to 40 km. Current rating is 3.78.,,2025-11-03
1067,1067,Experienced house wiring with 14 years of experience. Speaks Malayalam. Available to travel up to 45 km. Current rating is 4.46.,,2025-12-19
1068,1068,Experienced beautician with 1 years of experience. Speaks Kannada. Available to travel up to 46 km. Current rating is 4.92.,,2025-10-28
1069,1069,Experienced kitchen cleaning with 11 years of experience. Speaks Tamil. Available to travel up to 14 km. Current rating is 3.91.,,2025-08-04
1070,1070,Experienced driver with 12 years of experience. Speaks Hindi. Available to travel up to 16 km. Current rating is 4.72.,,2025-08-10
1071,1071,Experienced gardener with 17 years of experience. Speaks Hindi. Available to travel up to 7 km. Current rating is 3.87.,,2025-07-27
1072,1072,Experienced wall painting with 3 years of experience. Speaks Telugu. Available to travel up to 31 km. Current rating is 3.95.,,2025-01-26
1073,1073,Experienced ac repair with 0 years of experience. Speaks Hindi. Available to travel up to 8 km. Current rating is 3.68.,,2025-05-31
1074,1074,Experienced makeup artist with 6 years of experience. Speaks Hindi. Available to travel up to 42 km. Current rating is 4.22.,,2025-10-16
1075,1075,Experienced hair stylist with 15 years of experience. Speaks English. Available to travel up to 12 km. Current rating is 3.83.,,2025-12-19
1076,1076,Experienced cook with 2 years of experience. Speaks Hindi. Available to travel up to 24 km. Current rating is 3.58.,,2025-12-01
1077,1077,Experienced deep cleaning with 9 years of experience. Speaks Hindi. Available to travel up to 26 km. Current rating is 4.0.,,2025-07-27
1078,1078,Experienced tailor with 9 years of experience. Speaks Telugu. Available to travel up to 16 km. Current rating is 3.68.,,2026-01-01
1079,1079,Experienced driver with 3 years of experience. Speaks English. Available to travel up to 21 km. Current rating is 4.32.,,2025-12-27
1080,1080,Experienced washing machine repair with 17 years of experience. Speaks Hindi. Available to travel up to 47 km. Current rating is 4.39.,,2025-03-06
1081,1081,Experienced door repair with 7 years of experience. Speaks Malayalam. Available to travel up to 41 km. Current rating is 4.19.,,2025-04-08
1082,1082,Experienced packers with 10 years of experience. Speaks Kannada. Available to travel up to 35 km. Current rating is 3.79.,,2025-12-10
1083,1083,Experienced wood polishing with 15 years of experience. Speaks Hindi. Available to travel up to 25 km. Current rating is 4.91.,,2025-01-27
1084,1084,Experienced house wiring with 11 years of experience. Speaks Hindi. Available to travel up to 16 km. Current rating is 3.72.,,2025-07-08
1085,1085,Experienced exterior painting with 20 years of experience. Speaks English. Available to travel up to 27 km. Current rating is 3.83.,,2025-05-11
1086,1086,Experienced exterior painting with 10 years of experience. Speaks English. Available to travel up to 25 km. Current rating is 3.7.,,2025-06-26
1087,1087,Experienced hair stylist with 0 years of experience. Speaks English. Available to travel up to 9 km. Current rating is 4.28.,,2025-08-09
1088,1088,Experienced tree trimming with 10 years of experience. Speaks Hindi. Available to travel up to 9 km. Current rating is 4.19.,,2025-03-22
1089,1089,Experienced packers with 3 years of experience. Speaks Malayalam. Available to travel up to 28 km. Current rating is 4.67.,,2025-03-16
1090,1090,Experienced plumber with 7 years of experience. Speaks English. Available to travel up to 28 km. Current rating is 4.98.,,2025-08-16
1091,1091,Experienced ac installation with 19 years of experience. Speaks Telugu. Available to travel up to 41 km. Current rating is 3.77.,,2025-03-11
1092,1092,Experienced door repair with 12 years of experience. Speaks Kannada. Available to travel up to 20 km. Current rating is 4.65.,,2025-03-29
1093,1093,Experienced tv repair with 17 years of experience. Speaks Telugu. Available to travel up to 39 km. Current rating is 3.74.,,2025-09-15
1094,1094,Experienced house wiring with 8 years of experience. Speaks Telugu. Available to travel up to 20 km. Current rating is 3.53.,,2025-07-04
1095,1095,Experienced door repair with 13 years of experience. Speaks English. Available to travel up to 31 km. Current rating is 3.73.,,2025-02-26
1096,1096,Experienced furniture assembly with 11 years of experience. Speaks Kannada. Available to travel up to 14 km. Current rating is 3.61.,,2025-11-18
1097,1097,Experienced house cleaning with 3 years of experience. Speaks Malayalam. Available to travel up to 23 km. Current rating is 4.17.,,2025-07-25
1098,1098,Experienced lawn maintenance with 3 years of experience. Speaks Malayalam. Available to travel up to 45 km. Current rating is 4.66.,,2025-09-21
1099,1099,Experienced concrete work with 7 years of experience. Speaks Tamil. Available to travel up to 34 km. Current rating is 4.51.,,2025-06-01
1100,1100,Experienced catering with 18 years of experience. Speaks Malayalam. Available to travel up to 48 km. Current rating is 3.62.,,2025-10-31
1101,1101,Experienced fan installation with 7 years of experience. Speaks Hindi. Available to travel up to 38 km. Current rating is 4.85.,,2025-01-04
1102,1102,Experienced furniture assembly with 17 years of experience. Speaks Telugu. Available to travel up to 33 km. Current rating is 4.39.,,2025-11-22
1103,1103,Experienced painter with 12 years of experience. Speaks Kannada. Available to travel up to 8 km. Current rating is 3.99.,,2025-10-25
1104,1104,Experienced tv repair with 0 years of experience. Speaks Hindi. Available to travel up to 33 km. Current rating is 3.6.,,2025-03-12
1105,1105,Experienced microwave repair with 6 years of experience. Speaks Malayalam. Available to travel up to 9 km. Current rating is 3.89.,,2025-03-08
1106,1106,Experienced interior painting with 5 years of experience. Speaks Tamil. Available to travel up to 15 km. Current rating is 4.55.,,2025-05-13
1107,1107,Experienced exterior painting with 14 years of experience. Speaks Tamil. Available to travel up to 5 km. Current rating is 4.59.,,2025-08-16
1108,1108,Experienced carpenter with 6 years of experience. Speaks English. Available to travel up to 34 km. Current rating is 4.27.,,2025-08-16
1109,1109,Experienced hair stylist with 4 years of experience. Speaks Kannada. Available to travel up to 7 km. Current rating is 4.56.,,2025-07-16
1110,1110,Experienced interior painting with 5 years of experience. Speaks Malayalam. Available to travel up to 8 km. Current rating is 4.28.,,2025-10-26
1111,1111,Experienced exterior painting with 8 years of experience. Speaks Tamil. Available to travel up to 7 km. Current rating is 4.06.,,2025-07-07
1112,1112,Experienced ac technician with 6 years of experience. Speaks Kannada. Available to travel up to 8 km. Current rating is 4.04.,,2025-02-10
1113,1113,Experienced tile installation with 2 years of experience. Speaks Telugu. Available to travel up to 12 km. Current rating is 4.28.,,2025-07-16
1114,1114,Experienced beautician with 11 years of experience. Speaks Malayalam. Available to travel up to 21 km. Current rating is 3.77.,,2025-07-04
1115,1115,Experienced cloth stitching with 13 years of experience. Speaks Hindi. Available to travel up to 38 km. Current rating is 4.87.,,2025-03-03
1116,1116,Experienced ac installation with 5 years of experience. Speaks Malayalam. Available to travel up to 26 km. Current rating is 4.19.,,2025-12-04
1117,1117,Experienced ac technician with 19 years of experience. Speaks Hindi. Available to travel up to 14 km. Current rating is 4.02.,,2025-10-03
1118,1118,Experienced makeup artist with 2 years of experience. Speaks English. Available to travel up to 45 km. Current rating is 4.32.,,2025-03-05
1119,1119,Experienced water tank installation with 16 years of experience. Speaks Telugu. Available to travel up to 9 km. Current rating is 4.68.,,2025-02-12
1120,1120,Experienced beautician with 18 years of experience. Speaks English. Available to travel up to 27 km. Current rating is 4.77.,,2025-09-08
1121,1121,Experienced lawn maintenance with 0 years of experience. Speaks English. Available to travel up to 28 km. Current rating is 3.55.,,2025-05-12
1122,1122,Experienced movers with 14 years of experience. Speaks Malayalam. Available to travel up to 14 km. Current rating is 4.78.,,2025-11-22
1123,1123,Experienced electrician with 11 years of experience. Speaks Hindi. Available to travel up to 26 km. Current rating is 4.3.,,2025-02-21
1124,1124,Experienced hair stylist with 3 years of experience. Speaks Hindi. Available to travel up to 23 km. Current rating is 4.76.,,2025-08-12
1125,1125,Experienced interior painting with 10 years of experience. Speaks Kannada. Available to travel up to 11 km. Current rating is 4.22.,,2025-08-08
1126,1126,Experienced pipe repair with 5 years of experience. Speaks Tamil. Available to travel up to 18 km. Current rating is 4.11.,,2025-01-07
1127,1127,Experienced wood polishing with 5 years of experience. Speaks Hindi. Available to travel up to 45 km. Current rating is 4.83.,,2025-01-09
1128,1128,Experienced tree trimming with 6 years of experience. Speaks Malayalam. Available to travel up to 36 km. Current rating is 4.66.,,2025-05-02
1129,1129,Experienced ac technician with 17 years of experience. Speaks English. Available to travel up to 32 km. Current rating is 3.65.,,2025-02-27
1130,1130,Experienced brick work with 11 years of experience. Speaks Tamil. Available to travel up to 47 km. Current rating is 3.97.,,2025-08-14
1131,1131,Experienced packers with 16 years of experience. Speaks Tamil. Available to travel up to 17 km. Current rating is 3.59.,,2025-02-13
1132,1132,Experienced makeup artist with 0 years of experience. Speaks Hindi. Available to travel up to 36 km. Current rating is 4.57.,,2025-03-30
1133,1133,Experienced movers with 2 years of experience. Speaks Telugu. Available to travel up to 45 km. Current rating is 4.45.,,2025-06-15
1134,1134,Experienced switch repair with 5 years of experience. Speaks Malayalam. Available to travel up to 39 km. Current rating is 4.61.,,2025-04-11
1135,1135,Experienced carpenter with 7 years of experience. Speaks Telugu. Available to travel up to 46 km. Current rating is 3.62.,,2025-07-03
1136,1136,Experienced packers with 17 years of experience. Speaks Kannada. Available to travel up to 19 km. Current rating is 3.68.,,2025-03-24
1137,1137,Experienced switch repair with 2 years of experience. Speaks Kannada. Available to travel up to 8 km. Current rating is 4.13.,,2025-01-16
1138,1138,Experienced plumber with 14 years of experience. Speaks Tamil. Available to travel up to 11 km. Current rating is 4.93.,,2025-08-27
1139,1139,Experienced movers with 20 years of experience. Speaks Telugu. Available to travel up to 29 km. Current rating is 4.1.,,2025-02-17
1140,1140,Experienced lawn maintenance with 18 years of experience. Speaks Hindi. Available to travel up to 34 km. Current rating is 3.63.,,2025-01-05
1141,1141,Experienced ac technician with 6 years of experience. Speaks Tamil. Available to travel up to 45 km. Current rating is 4.53.,,2025-03-21
1142,1142,Experienced painter with 9 years of experience. Speaks Telugu. Available to travel up to 33 km. Current rating is 4.73.,,2025-08-13
1143,1143,Experienced house cleaning with 15 years of experience. Speaks Tamil. Available to travel up to 9 km. Current rating is 3.75.,,2025-03-29
1144,1144,Experienced light installation with 16 years of experience. Speaks Malayalam. Available to travel up to 17 km. Current rating is 3.92.,,2025-06-01
1145,1145,Experienced bathroom cleaning with 17 years of experience. Speaks English. Available to travel up to 22 km. Current rating is 4.49.,,2025-07-04
1146,1146,Experienced driver with 10 years of experience. Speaks Malayalam. Available to travel up to 34 km. Current rating is 3.59.,,2025-08-18
1147,1147,Experienced movers with 12 years of experience. Speaks Kannada. Available to travel up to 27 km. Current rating is 3.55.,,2025-05-04
1148,1148,Experienced alteration with 1 years of experience. Speaks Hindi. Available to travel up to 31 km. Current rating is 3.64.,,2025-02-28
1149,1149,Experienced catering with 10 years of experience. Speaks Kannada. Available to travel up to 50 km. Current rating is 4.43.,,2025-01-03
1150,1150,Experienced movers with 8 years of experience. Speaks Hindi. Available to travel up to 16 km. Current rating is 4.15.,,2025-05-12
1151,1151,Experienced ac installation with 19 years of experience. Speaks Hindi. Available to travel up to 5 km. Current rating is 4.49.,,2025-01-29
1152,1152,Experienced movers with 16 years of experience. Speaks Hindi. Available to travel up to 15 km. Current rating is 4.62.,,2025-11-10
1153,1153,Experienced painter with 18 years of experience. Speaks Telugu. Available to travel up to 24 km. Current rating is 4.25.,,2025-06-16
1154,1154,Experienced tile installation with 8 years of experience. Speaks Telugu. Available to travel up to 50 km. Current rating is 3.74.,,2025-03-16
1155,1155,Experienced cloth stitching with 19 years of experience. Speaks English. Available to travel up to 33 km. Current rating is 3.96.,,2025-01-14
1156,1156,Experienced alteration with 17 years of experience. Speaks Kannada. Available to travel up to 34 km. Current rating is 4.73.,,2025-03-06
1157,1157,Experienced house wiring with 8 years of experience. Speaks Malayalam. Available to travel up to 28 km. Current rating is 3.74.,,2025-01-30
1158,1158,Experienced tailor with 13 years of experience. Speaks Tamil. Available to travel up to 43 km. Current rating is 3.87.,,2025-07-13
1159,1159,Experienced painter with 7 years of experience. Speaks English. Available to travel up to 47 km. Current rating is 4.01.,,2025-02-21
1160,1160,Experienced kitchen cleaning with 5 years of experience. Speaks Hindi. Available to travel up to 36 km. Current rating is 4.39.,,2025-07-24
1161,1161,Experienced cloth stitching with 12 years of experience. Speaks Kannada. Available to travel up to 27 km. Current rating is 4.88.,,2025-06-17
1162,1162,Experienced alteration with 7 years of experience. Speaks Malayalam. Available to travel up to 14 km. Current rating is 4.41.,,2025-02-26
1163,1163,Experienced painter with 20 years of experience. Speaks Tamil. Available to travel up to 14 km. Current rating is 3.51.,,2025-06-03
1164,1164,Experienced exterior painting with 4 years of experience. Speaks Telugu. Available to travel up to 9 km. Current rating is 3.76.,,2025-10-03
1165,1165,Experienced brick work with 3 years of experience. Speaks Kannada. Available to travel up to 25 km. Current rating is 4.67.,,2025-05-31
1166,1166,Experienced brick work with 0 years of experience. Speaks Kannada. Available to travel up to 33 km. Current rating is 4.74.,,2025-04-14
1167,1167,Experienced pipe repair with 3 years of experience. Speaks Tamil. Available to travel up to 46 km. Current rating is 3.68.,,2025-01-06
1168,1168,Experienced tree trimming with 1 years of experience. Speaks Telugu. Available to travel up to 25 km. Current rating is 4.04.,,2025-07-16
1169,1169,Experienced lawn maintenance with 11 years of experience. Speaks Kannada. Available to travel up to 36 km. Current rating is 4.23.,,2025-02-08
1170,1170,Experienced wall painting with 11 years of experience. Speaks English. Available to travel up to 34 km. Current rating is 4.42.,,2025-02-04
1171,1171,Experienced deep cleaning with 10 years of experience. Speaks Malayalam. Available to travel up to 24 km. Current rating is 4.01.,,2025-09-03
1172,1172,Experienced wood polishing with 8 years of experience. Speaks Kannada. Available to travel up to 9 km. Current rating is 4.8.,,2025-10-05
1173,1173,Experienced switch repair with 13 years of experience. Speaks Kannada. Available to travel up to 11 km. Current rating is 4.73.,,2025-03-02
1174,1174,Experienced ac repair with 13 years of experience. Speaks Malayalam. Available to travel up to 49 km. Current rating is 3.68.,,2025-07-27
1175,1175,Experienced movers with 5 years of experience. Speaks Kannada. Available to travel up to 50 km. Current rating is 4.68.,,2025-09-02
1176,1176,Experienced interior painting with 11 years of experience. Speaks Hindi. Available to travel up to 32 km. Current rating is 4.52.,,2025-09-07
1177,1177,Experienced microwave repair with 4 years of experience. Speaks Malayalam. Available to travel up to 23 km. Current rating is 4.49.,,2025-08-19
1178,1178,Experienced bathroom cleaning with 11 years of experience. Speaks Tamil. Available to travel up to 29 km. Current rating is 4.03.,,2025-01-03
1179,1179,Experienced security guard with 12 years of experience. Speaks Telugu. Available to travel up to 32 km. Current rating is 4.53.,,2025-02-14
1180,1180,Experienced cook with 7 years of experience. Speaks Kannada. Available to travel up to 31 km. Current rating is 4.81.,,2025-02-01
1181,1181,Experienced washing machine repair with 14 years of experience. Speaks Hindi. Available to travel up to 28 km. Current rating is 3.84.,,2025-09-11
1182,1182,Experienced alteration with 16 years of experience. Speaks Hindi. Available to travel up to 39 km. Current rating is 3.83.,,2025-02-01
1183,1183,Experienced water tank installation with 8 years of experience. Speaks Malayalam. Available to travel up to 20 km. Current rating is 4.77.,,2025-11-13
1184,1184,Experienced security guard with 13 years of experience. Speaks Telugu. Available to travel up to 32 km. Current rating is 4.59.,,2025-12-27
1185,1185,Experienced kitchen cleaning with 0 years of experience. Speaks English. Available to travel up to 14 km. Current rating is 4.37.,,2025-10-16
1186,1186,Experienced furniture assembly with 18 years of experience. Speaks Kannada. Available to travel up to 35 km. Current rating is 4.22.,,2025-03-01
1187,1187,Experienced leak detection with 9 years of experience. Speaks Hindi. Available to travel up to 28 km. Current rating is 4.87.,,2025-02-15
1188,1188,Experienced refrigerator repair with 15 years of experience. Speaks Hindi. Available to travel up to 40 km. Current rating is 3.64.,,2025-06-02
1189,1189,Experienced painter with 19 years of experience. Speaks Kannada. Available to travel up to 39 km. Current rating is 4.54.,,2025-09-20
1190,1190,Experienced hair stylist with 14 years of experience. Speaks Kannada. Available to travel up to 18 km. Current rating is 3.86.,,2025-12-02
1191,1191,Experienced alteration with 16 years of experience. Speaks Hindi. Available to travel up to 6 km. Current rating is 3.92.,,2025-11-03
1192,1192,Experienced interior painting with 2 years of experience. Speaks Hindi. Available to travel up to 10 km. Current rating is 3.73.,,2025-10-02
1193,1193,Experienced fan installation with 20 years of experience. Speaks English. Available to travel up to 13 km. Current rating is 3.51.,,2025-08-07
1194,1194,Experienced ac technician with 6 years of experience. Speaks Tamil. Available to travel up to 26 km. Current rating is 4.8.,,2025-01-27
1195,1195,Experienced switch repair with 19 years of experience. Speaks Telugu. Available to travel up to 47 km. Current rating is 4.12.,,2025-07-01
1196,1196,Experienced light installation with 15 years of experience. Speaks English. Available to travel up to 47 km. Current rating is 4.73.,,2025-10-28
1197,1197,Experienced movers with 17 years of experience. Speaks Telugu. Available to travel up to 32 km. Current rating is 4.14.,,2025-02-16
1198,1198,Experienced deep cleaning with 16 years of experience. Speaks English. Available to travel up to 27 km. Current rating is 4.41.,,2025-03-14
1199,1199,Experienced interior painting with 13 years of experience. Speaks Telugu. Available to travel up to 26 km. Current rating is 4.33.,,2025-01-10
1200,1200,Experienced deep cleaning with 9 years of experience. Speaks Telugu. Available to travel up to 35 km. Current rating is 4.13.,,2025-06-18
1201,1201,Experienced concrete work with 9 years of experience. Speaks Tamil. Available to travel up to 28 km. Current rating is 3.8.,,2025-04-24
1202,1202,Experienced cook with 12 years of experience. Speaks English. Available to travel up to 10 km. Current rating is 3.96.,,2025-05-29
1203,1203,Experienced tree trimming with 1 years of experience. Speaks Malayalam. Available to travel up to 17 km. Current rating is 3.63.,,2025-02-16
1204,1204,Experienced packers with 16 years of experience. Speaks Malayalam. Available to travel up to 47 km. Current rating is 4.2.,,2025-05-19
1205,1205,Experienced tv repair with 9 years of experience. Speaks Malayalam. Available to travel up to 8 km. Current rating is 4.57.,,2025-12-10
1206,1206,Experienced door repair with 14 years of experience. Speaks Malayalam. Available to travel up to 16 km. Current rating is 4.55.,,2025-05-03
1207,1207,Experienced fan installation with 2 years of experience. Speaks Tamil. Available to travel up to 10 km. Current rating is 3.9.,,2025-05-17
1208,1208,Experienced wall painting with 3 years of experience. Speaks Kannada. Available to travel up to 18 km. Current rating is 4.82.,,2025-10-16
1209,1209,Experienced lawn maintenance with 6 years of experience. Speaks Kannada. Available to travel up to 35 km. Current rating is 4.91.,,2025-12-02
1210,1210,Experienced cloth stitching with 5 years of experience. Speaks Telugu. Available to travel up to 17 km. Current rating is 4.32.,,2025-06-05
1211,1211,Experienced door repair with 18 years of experience. Speaks Malayalam. Available to travel up to 5 km. Current rating is 3.8.,,2025-04-27
1212,1212,Experienced tv repair with 5 years of experience. Speaks Telugu. Available to travel up to 15 km. Current rating is 4.84.,,2025-02-02
1213,1213,Experienced pipe repair with 10 years of experience. Speaks Kannada. Available to travel up to 44 km. Current rating is 4.25.,,2025-04-22
1214,1214,Experienced bathroom fitting with 7 years of experience. Speaks Tamil. Available to travel up to 17 km. Current rating is 3.57.,,2025-10-11
1215,1215,Experienced deep cleaning with 9 years of experience. Speaks English. Available to travel up to 17 km. Current rating is 3.62.,,2025-10-19
1216,1216,Experienced wood polishing with 13 years of experience. Speaks Telugu. Available to travel up to 42 km. Current rating is 3.99.,,2025-11-13
1217,1217,Experienced tailor with 4 years of experience. Speaks Hindi. Available to travel up to 38 km. Current rating is 3.97.,,2025-12-16
1218,1218,Experienced bathroom fitting with 16 years of experience. Speaks English. Available to travel up to 44 km. Current rating is 4.48.,,2025-01-11
1219,1219,Experienced brick work with 3 years of experience. Speaks Malayalam. Available to travel up to 50 km. Current rating is 4.83.,,2025-05-07
1220,1220,Experienced tree trimming with 7 years of experience. Speaks Hindi. Available to travel up to 36 km. Current rating is 4.2.,,2025-08-03
1221,1221,Experienced security guard with 5 years of experience. Speaks Kannada. Available to travel up to 43 km. Current rating is 4.08.,,2025-05-03
